Condition,PS 18:0_18:1,PS 18:0_20:3,PS 18:0_20:4,PS 18:0_22:5,PS 18:0_22:6,SumPS
Cond01,0.036,0.02,0.433,0.001,0.562,1.052
Cond01,0.037,0.018,0.429,0.001,0.583,1.068
Cond01,0.031,0.016,0.403,0.001,0.551,1.002
Cond02,0.01,0.005,0.12,0,0.229,0.364
Cond02,0.011,0.005,0.148,0,0.271,0.435
Cond02,0.008,0.004,0.123,0,0.238,0.373
Cond03,0.033,0.019,0.388,0.001,0.495,0.936
Cond03,0.033,0.019,0.376,0.001,0.483,0.912
Cond03,0.032,0.016,0.351,0.001,0.459,0.859
Cond04,0.04,0.019,0.432,0.001,0.56,1.052
Cond04,0.042,0.02,0.456,0.001,0.591,1.11
Cond04,0.036,0.02,0.484,0.001,0.672,1.213